home_team,away_team,p_home_book,p_draw_book,p_away_book
AC Milan,Udinese,0.6586245300873352,0.2093471551618631,0.13202831475080173
AS Roma,Pisa,0.700552238825805,0.2012496997511158,0.09819806142307913
Atalanta BC,Juventus,0.3149339043412883,0.2796023004984768,0.40546379516023495
Bologna,Lecce,0.5752834542038122,0.2590692882162144,0.16564725757997337
Cagliari,Cremonese,0.43613418735202814,0.2996632701197084,0.2642025425282635
Como,Inter Milan,0.30509252666233705,0.2818542666306492,0.4130532067070138
Cremonese,Bologna,0.2587044906017836,0.28016001886890873,0.46113549052930775
Fiorentina,Lazio,0.43551058032274204,0.29805585667721807,0.26643356300003995
Genoa,Sassuolo,0.43718197347459675,0.291252734345036,0.27156529218036723
Hellas Verona,Fiorentina,0.22952893744204816,0.2766401270121152,0.4938309355458366
Inter Milan,AS Roma,0.574994602622207,0.24464594935835762,0.1803594480194354
Juventus,Genoa,0.6809317546522509,0.21029652419248385,0.10877172115526525
Lazio,Parma,0.5271225573065234,0.27784782700408794,0.19502961568938876
Lecce,Atalanta BC,0.19953706515909897,0.2586680639297825,0.5417948709111186
Napoli,AC Milan,0.3683190806349993,0.307223047719686,0.3244578716453146
Parma,Napoli,0.17162847868586742,0.26309861051339284,0.5652729108007397
Pisa,Torino,0.3306681782098761,0.3096400824112511,0.3596917393788728
Sassuolo,Cagliari,0.47685181688392814,0.2973536991355157,0.22579448398055624
Torino,Hellas Verona,0.4798567436481776,0.29024203574083296,0.22990122061098942
Udinese,Como,0.18869247730758512,0.25062188211270686,0.560685640579708
