home_team,away_team,p_home_book,p_draw_book,p_away_book
Arsenal,Bournemouth,0.6763880550172456,0.1979690370603383,0.12564290792241606
Aston Villa,Sunderland,0.590189521929275,0.2426109273446117,0.16719955072611328
Brentford,Everton,0.4322512412573451,0.2831933832769826,0.28455537546567233
Brentford,Fulham,0.4368485983596534,0.28084208752649764,0.2823093141138491
Burnley,Brighton and Hove Albion,0.2186702064985224,0.24429531797591603,0.5370344755255616
Chelsea,Manchester City,0.3229334274198818,0.25035106555836695,0.42671550702175126
Chelsea,Manchester United,0.44103683632650653,0.2554318419960724,0.30353132167742103
Crystal Palace,Newcastle United,0.34178791273806725,0.2732671777998577,0.38494490946207505
Crystal Palace,West Ham United,0.44537932991324175,0.278644883734162,0.27597578635259623
Everton,Liverpool,0.2841881559508274,0.2673722132828795,0.44843963076629306
Leeds United,Wolverhampton Wanderers,0.5739368668121972,0.24066797702648698,0.18539515616131572
Liverpool,Fulham,0.6116659585223345,0.21173039570168217,0.17660364577598325
Manchester City,Arsenal,0.4250824501756324,0.275375477601426,0.2995420722229416
Manchester United,Leeds United,0.5887473401914933,0.22897427557759484,0.18227838423091175
Newcastle United,Bournemouth,0.4924517883507532,0.2360123067544544,0.27153590489479246
Nottingham Forest,Aston Villa,0.366979251704528,0.2809988222331323,0.35202192606233973
Nottingham Forest,Burnley,0.6210770173365346,0.22574336873198642,0.153179613931479
Sunderland,Tottenham Hotspur,0.3606061832557446,0.27746851382446847,0.361925302919787
Tottenham Hotspur,Brighton and Hove Albion,0.3861229959132395,0.2605456787919168,0.3533313252948437
West Ham United,Wolverhampton Wanderers,0.5180161842771862,0.2579309541435247,0.22405286157928903
