Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
7225.0,2771.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2756.0,7062.0,142.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,156.0,6895.0,1991.0,638.0,122.0,173.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,10.0,2073.0,4537.0,1933.0,610.0,689.0,129.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,619.0,1999.0,3314.0,1652.0,1651.0,673.0,81.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,208.0,955.0,2224.0,2463.0,2435.0,1399.0,244.0,64.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,46.0,363.0,1211.0,2751.0,2487.0,2230.0,609.0,229.0,15.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.0,99.0,552.0,1775.0,1795.0,2992.0,1592.0,827.0,76.0,273.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,15.0,111.0,487.0,574.0,1527.0,3546.0,2170.0,395.0,1132.0,27.0,15.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.0,123.0,161.0,714.0,2290.0,3379.0,938.0,2129.0,158.0,91.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,16.0,30.0,237.0,1137.0,2164.0,2389.0,3152.0,516.0,325.0,31.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,81.0,414.0,901.0,3927.0,2246.0,1241.0,1006.0,166.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,65.0,226.0,1624.0,778.0,3746.0,2686.0,757.0,108.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,537.0,200.0,2979.0,3673.0,2108.0,446.0,19.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,92.0,25.0,1152.0,1844.0,4810.0,1911.0,146.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,170.0,347.0,1990.0,5889.0,1341.0,259.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,133.0,1486.0,6479.0,1883.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,146.0,2013.0,7838.0
