Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9998.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9009.0,786.0,56.0,131.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,827.0,5794.0,1007.0,1988.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,146.0,2256.0,2650.0,3390.0,1556.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,896.0,3484.0,2670.0,2907.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,268.0,2729.0,1794.0,4997.0,178.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,71.0,27.0,132.0,6363.0,2721.0,352.0,152.0,147.0,12.0,1.0,10.0,9.0,3.0,0.0,0.0
0.0,0.0,0.0,3.0,0.0,8.0,2426.0,4904.0,1089.0,623.0,694.0,62.0,30.0,62.0,70.0,29.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,1534.0,2817.0,1836.0,1797.0,365.0,164.0,410.0,277.0,123.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,224.0,508.0,2073.0,2124.0,2230.0,708.0,416.0,741.0,616.0,348.0,12.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,83.0,205.0,1597.0,1903.0,1871.0,1058.0,585.0,1098.0,963.0,609.0,28.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,26.0,64.0,1005.0,1381.0,1335.0,1425.0,966.0,1427.0,1399.0,899.0,72.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,565.0,936.0,898.0,1694.0,1333.0,1532.0,1621.0,1273.0,125.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,317.0,598.0,565.0,1647.0,1793.0,1593.0,1670.0,1534.0,275.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,132.0,309.0,308.0,1553.0,2048.0,1481.0,1550.0,1991.0,611.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,124.0,144.0,1146.0,1983.0,1286.0,1430.0,2334.0,1460.0,46.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,11.0,320.0,664.0,349.0,384.0,834.0,6896.0,526.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,11.0,11.0,23.0,519.0,9409.0
