Arsenal,Manchester City,Manchester United,Aston Villa,Chelsea,Liverpool,Brentford,Everton,AFC Bournemouth,Fulham,Sunderland,Newcastle United,Crystal Palace,Brighton & Hove Albion,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9399.0,600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,9187.0,111.0,50.0,40.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,184.0,4538.0,1873.0,2160.0,1188.0,49.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,26.0,2502.0,2628.0,2624.0,1975.0,200.0,27.0,3.0,7.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1629.0,2641.0,2487.0,2350.0,639.0,151.0,14.0,25.0,27.0,15.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,912.0,2031.0,1834.0,2758.0,1495.0,449.0,99.0,164.0,91.0,90.0,12.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,252.0,590.0,574.0,1119.0,3683.0,1434.0,435.0,586.0,395.0,472.0,110.0,347.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,45.0,136.0,188.0,404.0,1776.0,2167.0,1064.0,1103.0,779.0,1141.0,324.0,866.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,37.0,59.0,125.0,1043.0,1828.0,1359.0,1355.0,1068.0,1361.0,531.0,1195.0,27.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,11.0,25.0,42.0,552.0,1419.0,1567.0,1510.0,1213.0,1434.0,721.0,1442.0,59.0,2.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,7.0,16.0,319.0,995.0,1570.0,1536.0,1438.0,1459.0,1086.0,1422.0,128.0,10.0,8.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,11.0,142.0,770.0,1332.0,1459.0,1673.0,1363.0,1446.0,1492.0,255.0,36.0,14.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,73.0,489.0,1279.0,1205.0,1611.0,1352.0,1891.0,1419.0,525.0,74.0,45.0,36.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,27.0,229.0,939.0,860.0,1338.0,1001.0,2561.0,1174.0,1286.0,306.0,175.0,104.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,302.0,168.0,303.0,267.0,1037.0,471.0,4089.0,1798.0,955.0,576.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,21.0,54.0,36.0,242.0,70.0,2242.0,3072.0,2630.0,1592.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,6.0,32.0,15.0,971.0,2747.0,3207.0,2979.0,30.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,404.0,1919.0,2865.0,4561.0,221.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,98.0,140.0,7733.0,1992.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2010.0,7985.0
