Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9998.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9818.0,121.0,23.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,164.0,4932.0,2727.0,1876.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,2683.0,3901.0,2581.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1702.0,2459.0,3629.0,2205.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,562.0,883.0,1872.0,6577.0,84.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0,8.0,89.0,6020.0,3274.0,225.0,131.0,114.0,83.0,47.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,2793.0,4884.0,830.0,412.0,557.0,267.0,213.0,12.0,24.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,1260.0,2522.0,1285.0,1945.0,996.0,917.0,126.0,179.0,20.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,239.0,386.0,2042.0,1664.0,2123.0,1464.0,1300.0,309.0,433.0,39.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,90.0,125.0,1663.0,1698.0,1797.0,1684.0,1448.0,644.0,750.0,97.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,37.0,1148.0,1612.0,1480.0,1812.0,1675.0,959.0,1066.0,180.0,16.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,768.0,1457.0,970.0,1569.0,1684.0,1477.0,1609.0,411.0,42.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,508.0,1050.0,662.0,1172.0,1474.0,2046.0,2122.0,844.0,119.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,572.0,269.0,758.0,912.0,2911.0,2175.0,1823.0,342.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,117.0,79.0,187.0,293.0,1376.0,1438.0,4898.0,1530.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,37.0,139.0,200.0,1657.0,7545.0,407.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,401.0,9566.0
