Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9751.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248.0,9529.0,168.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,198.0,6632.0,2357.0,448.0,328.0,16.0,14.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,23.0,2267.0,4723.0,1589.0,1143.0,117.0,79.0,26.0,28.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,667.0,1925.0,2950.0,2839.0,606.0,577.0,109.0,228.0,54.0,26.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,215.0,698.0,2443.0,2636.0,1349.0,1123.0,358.0,755.0,190.0,148.0,68.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,42.0,191.0,1295.0,1415.0,2214.0,1785.0,785.0,1249.0,392.0,375.0,215.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,40.0,647.0,809.0,1866.0,1867.0,1177.0,1687.0,634.0,722.0,443.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0,354.0,446.0,1451.0,1636.0,1510.0,1686.0,934.0,1073.0,696.0,199.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,4.0,168.0,229.0,1065.0,1250.0,1765.0,1533.0,1252.0,1377.0,1018.0,329.0,8.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,75.0,90.0,691.0,845.0,1605.0,1204.0,1637.0,1696.0,1487.0,631.0,32.0,6.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,24.0,48.0,402.0,522.0,1351.0,850.0,1981.0,1840.0,1886.0,969.0,90.0,34.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,16.0,178.0,235.0,926.0,582.0,1907.0,1628.0,2344.0,1779.0,289.0,96.0,13.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,41.0,65.0,353.0,171.0,891.0,966.0,1448.0,4334.0,1068.0,444.0,170.0,48.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,35.0,20.0,113.0,125.0,323.0,1287.0,4356.0,2054.0,1347.0,334.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,22.0,53.0,275.0,2484.0,3945.0,2276.0,930.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,33.0,1239.0,2560.0,3663.0,2496.0,2.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,429.0,855.0,2517.0,6116.0,46.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,72.0,7037.0,2876.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2914.0,7085.0
