Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9293.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707.0,9175.0,103.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,112.0,6536.0,851.0,1445.0,881.0,162.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1995.0,2450.0,2928.0,1935.0,558.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,818.0,2834.0,2471.0,2294.0,1185.0,387.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,403.0,2119.0,2023.0,2498.0,1987.0,945.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,130.0,1321.0,884.0,1651.0,3687.0,2091.0,63.0,140.0,30.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,383.0,231.0,679.0,2197.0,4550.0,616.0,1014.0,299.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,32.0,9.0,54.0,189.0,1278.0,2842.0,3787.0,1621.0,61.0,123.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,0.0,7.0,28.0,449.0,3277.0,2936.0,2684.0,241.0,358.0,14.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,148.0,2490.0,1647.0,3831.0,726.0,1027.0,94.0,31.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,570.0,374.0,1131.0,2983.0,3906.0,671.0,319.0,35.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,115.0,66.0,348.0,3814.0,3025.0,1553.0,917.0,159.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,51.0,1644.0,1210.0,3588.0,2760.0,717.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,491.0,310.0,3071.0,4119.0,1962.0,37.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,28.0,988.0,1825.0,6532.0,533.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,575.0,7299.0,2082.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2128.0,7851.0
