Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9737.0,181.0,69.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.0,5891.0,2737.0,1024.0,95.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,2597.0,3745.0,2927.0,512.0,193.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1024.0,2332.0,4011.0,1711.0,888.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,256.0,875.0,1478.0,4483.0,2584.0,323.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,49.0,236.0,526.0,2733.0,5183.0,1265.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,6.0,21.0,463.0,1114.0,7933.0,329.0,95.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,21.0,399.0,6005.0,1969.0,844.0,742.0,3.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,40.0,2248.0,3949.0,2018.0,1621.0,15.0,51.0,49.0,5.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,990.0,2473.0,3242.0,2752.0,55.0,244.0,186.0,17.0,35.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,1314.0,2823.0,3604.0,241.0,774.0,569.0,97.0,184.0,5.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,178.0,734.0,883.0,1224.0,3182.0,2062.0,575.0,985.0,49.0,95.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,232.0,285.0,1971.0,2423.0,2240.0,992.0,1510.0,134.0,194.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,61.0,80.0,2381.0,1567.0,1909.0,1451.0,1822.0,354.0,368.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,2103.0,991.0,1498.0,1892.0,2041.0,702.0,740.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1426.0,502.0,994.0,2536.0,1774.0,1356.0,1397.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,200.0,382.0,1653.0,1118.0,3138.0,2956.0,3.0,51.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,59.0,106.0,776.0,519.0,4096.0,4080.0,36.0,246.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,165.0,163.0,3382.0,6277.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6579.0,3419.0
