Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9007.0,796.0,42.0,139.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,854.0,5776.0,1013.0,1997.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,120.0,2260.0,2601.0,3419.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,895.0,3535.0,2673.0,2867.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,271.0,2733.0,1746.0,5011.0,200.0,31.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,75.0,26.0,141.0,6336.0,2730.0,344.0,167.0,131.0,13.0,8.0,9.0,10.0,8.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,5.0,2442.0,4893.0,1119.0,641.0,645.0,77.0,34.0,59.0,53.0,31.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,701.0,1520.0,2818.0,1778.0,1833.0,375.0,179.0,360.0,282.0,149.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,216.0,541.0,2131.0,2117.0,2142.0,719.0,376.0,769.0,614.0,366.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,68.0,201.0,1473.0,1868.0,1838.0,1135.0,643.0,1120.0,1033.0,598.0,23.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,18.0,54.0,1005.0,1391.0,1363.0,1468.0,1027.0,1428.0,1330.0,860.0,56.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,600.0,969.0,930.0,1620.0,1315.0,1508.0,1612.0,1278.0,137.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,305.0,573.0,631.0,1655.0,1624.0,1620.0,1638.0,1629.0,315.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,359.0,324.0,1438.0,2071.0,1517.0,1570.0,1938.0,596.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,124.0,136.0,1182.0,2037.0,1244.0,1449.0,2310.0,1431.0,55.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,26.0,312.0,672.0,353.0,394.0,807.0,6824.0,598.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,13.0,15.0,26.0,604.0,9322.0
