Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8492.0,1505.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1499.0,8335.0,69.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,153.0,4559.0,5273.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,5284.0,4570.0,105.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,85.0,59.0,6643.0,2518.0,71.0,425.0,51.0,32.0,101.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2225.0,4713.0,372.0,1511.0,298.0,207.0,533.0,40.0,79.0,13.0,7.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,697.0,1710.0,1076.0,2947.0,870.0,549.0,1539.0,128.0,340.0,60.0,72.0,0.0,8.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,230.0,591.0,1651.0,1913.0,1471.0,992.0,1827.0,271.0,666.0,168.0,166.0,7.0,26.0,21.0,0.0,0.0
0.0,0.0,0.0,0.0,61.0,280.0,1738.0,1255.0,1605.0,1339.0,1623.0,472.0,941.0,281.0,270.0,26.0,65.0,44.0,0.0,0.0
0.0,0.0,0.0,0.0,24.0,96.0,1532.0,832.0,1630.0,1444.0,1326.0,739.0,1203.0,472.0,431.0,51.0,126.0,92.0,2.0,0.0
0.0,0.0,0.0,0.0,7.0,31.0,1271.0,506.0,1318.0,1499.0,1090.0,952.0,1423.0,675.0,675.0,108.0,266.0,177.0,2.0,0.0
0.0,0.0,0.0,0.0,4.0,18.0,961.0,301.0,1056.0,1383.0,792.0,1121.0,1429.0,1035.0,950.0,222.0,465.0,250.0,13.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,659.0,153.0,770.0,1003.0,551.0,1506.0,1305.0,1319.0,1190.0,343.0,722.0,457.0,20.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,375.0,96.0,468.0,713.0,305.0,1504.0,1058.0,1615.0,1384.0,667.0,1019.0,731.0,61.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,189.0,44.0,278.0,452.0,174.0,1295.0,739.0,1587.0,1515.0,1143.0,1428.0,1039.0,112.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,76.0,15.0,125.0,237.0,94.0,1002.0,447.0,1365.0,1459.0,1614.0,1798.0,1488.0,271.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,43.0,121.0,34.0,658.0,231.0,908.0,1121.0,2240.0,1883.0,2055.0,645.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,28.0,9.0,273.0,106.0,424.0,650.0,2567.0,1632.0,2494.0,1650.0,145.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,35.0,23.0,78.0,108.0,952.0,513.0,1060.0,6134.0,1093.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,49.0,87.0,1090.0,8713.0
