Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
7331.0,2663.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2648.0,7176.0,133.0,38.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,148.0,6948.0,1962.0,613.0,143.0,159.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,11.0,2029.0,4606.0,1864.0,560.0,755.0,161.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,605.0,2055.0,3425.0,1535.0,1557.0,745.0,61.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,223.0,870.0,2212.0,2576.0,2458.0,1353.0,246.0,48.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,43.0,364.0,1176.0,2680.0,2551.0,2179.0,666.0,255.0,19.0,64.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,16.0,85.0,585.0,1823.0,1773.0,2912.0,1640.0,825.0,82.0,255.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,15.0,102.0,542.0,580.0,1642.0,3465.0,2157.0,405.0,1039.0,34.0,18.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,14.0,122.0,135.0,714.0,2288.0,3413.0,978.0,2120.0,132.0,75.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,17.0,27.0,225.0,1113.0,2172.0,2478.0,3177.0,464.0,281.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,5.0,52.0,422.0,877.0,3877.0,2322.0,1316.0,922.0,199.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,80.0,208.0,1519.0,803.0,3768.0,2701.0,802.0,105.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,534.0,178.0,2843.0,3716.0,2198.0,481.0,17.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,102.0,26.0,1253.0,1920.0,4687.0,1840.0,141.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,177.0,353.0,1934.0,5924.0,1358.0,249.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,126.0,1492.0,6384.0,1978.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,150.0,2099.0,7745.0
