Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Lazio,Udinese,Parma,Genoa,Cagliari,Torino,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9715.0,273.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279.0,7937.0,1197.0,328.0,75.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1306.0,4022.0,2400.0,873.0,1384.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,347.0,2334.0,2890.0,1738.0,2614.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,98.0,1578.0,2346.0,2635.0,3098.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,38.0,817.0,1835.0,3990.0,2331.0,978.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,42.0,199.0,680.0,383.0,8167.0,281.0,143.0,75.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,9.0,3.0,452.0,3878.0,2563.0,2141.0,746.0,117.0,58.0,22.0,8.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,60.0,2575.0,2749.0,2572.0,1406.0,328.0,174.0,79.0,53.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,1793.0,2292.0,2335.0,2014.0,700.0,490.0,191.0,144.0,11.0,17.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,961.0,1355.0,1676.0,2674.0,1358.0,992.0,532.0,361.0,36.0,47.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,547.0,764.0,1614.0,2331.0,2007.0,1179.0,875.0,125.0,173.0,43.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,235.0,299.0,895.0,2237.0,2094.0,1813.0,1407.0,337.0,444.0,118.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,87.0,93.0,394.0,1641.0,1824.0,2194.0,1970.0,672.0,857.0,235.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,38.0,185.0,853.0,1285.0,2006.0,2228.0,1305.0,1541.0,524.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,38.0,337.0,695.0,1269.0,1671.0,2243.0,2590.0,1128.0,13.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,89.0,315.0,546.0,958.0,3279.0,2574.0,2154.0,45.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,66.0,168.0,321.0,1893.0,1664.0,5335.0,310.0,235.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,96.0,85.0,420.0,6083.0,3311.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,34.0,3545.0,6414.0
