Arsenal,Manchester City,Manchester United,Aston Villa,Chelsea,Liverpool,Brentford,Everton,AFC Bournemouth,Fulham,Sunderland,Newcastle United,Crystal Palace,Brighton & Hove Albion,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9389.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611.0,9163.0,121.0,54.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,208.0,4504.0,1819.0,2249.0,1162.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,2500.0,2681.0,2577.0,1949.0,222.0,31.0,7.0,4.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1637.0,2699.0,2450.0,2415.0,568.0,120.0,18.0,33.0,25.0,18.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,877.0,2035.0,1785.0,2757.0,1600.0,437.0,94.0,132.0,93.0,96.0,18.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,288.0,570.0,595.0,1149.0,3682.0,1361.0,458.0,591.0,354.0,465.0,117.0,366.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,55.0,107.0,204.0,361.0,1800.0,2252.0,1062.0,1076.0,816.0,1120.0,280.0,862.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,17.0,24.0,63.0,129.0,981.0,1778.0,1376.0,1466.0,1026.0,1432.0,526.0,1159.0,22.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,8.0,20.0,55.0,560.0,1417.0,1560.0,1467.0,1269.0,1527.0,722.0,1309.0,78.0,3.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,6.0,14.0,287.0,1083.0,1509.0,1526.0,1471.0,1439.0,1045.0,1457.0,138.0,15.0,5.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,4.0,162.0,780.0,1445.0,1354.0,1670.0,1334.0,1433.0,1509.0,260.0,29.0,12.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,1.0,63.0,476.0,1219.0,1291.0,1539.0,1260.0,1916.0,1512.0,548.0,91.0,48.0,34.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,18.0,221.0,937.0,867.0,1336.0,973.0,2561.0,1157.0,1300.0,308.0,194.0,128.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,266.0,178.0,341.0,272.0,1091.0,455.0,4005.0,1766.0,967.0,620.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,13.0,51.0,49.0,241.0,100.0,2220.0,3070.0,2654.0,1548.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,7.0,42.0,20.0,1001.0,2708.0,3246.0,2930.0,33.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,3.0,409.0,1969.0,2770.0,4613.0,198.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,100.0,119.0,7670.0,2061.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093.0,7907.0
