Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Udinese,Lazio,Parma,Genoa,Cagliari,Torino,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9760.0,230.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238.0,7929.0,1177.0,364.0,81.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1314.0,4007.0,2339.0,898.0,1436.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,369.0,2446.0,2927.0,1649.0,2543.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,135.0,1524.0,2398.0,2575.0,3100.0,267.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,22.0,782.0,1757.0,4095.0,2335.0,1003.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,54.0,211.0,692.0,371.0,8006.0,298.0,317.0,14.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,10.0,4.0,567.0,3635.0,3807.0,685.0,1107.0,100.0,53.0,13.0,14.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,77.0,2965.0,2824.0,1555.0,1900.0,358.0,188.0,77.0,47.0,6.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1766.0,1663.0,2472.0,2436.0,775.0,491.0,211.0,148.0,9.0,19.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,877.0,859.0,2390.0,2194.0,1488.0,1114.0,528.0,442.0,30.0,69.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,329.0,1460.0,1215.0,2328.0,1847.0,1179.0,921.0,151.0,210.0,47.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,135.0,824.0,649.0,2087.0,2181.0,1806.0,1362.0,306.0,453.0,91.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,41.0,408.0,324.0,1614.0,1863.0,2188.0,1858.0,614.0,830.0,227.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,153.0,97.0,856.0,1234.0,2081.0,2138.0,1363.0,1535.0,523.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,33.0,312.0,661.0,1223.0,1773.0,2248.0,2601.0,1092.0,11.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,72.0,321.0,542.0,965.0,3287.0,2512.0,2199.0,45.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,47.0,152.0,327.0,1885.0,1658.0,5351.0,326.0,244.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,92.0,107.0,421.0,6047.0,3328.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,40.0,3571.0,6378.0
