Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Lazio,Udinese,Parma,Genoa,Cagliari,Torino,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9738.0,245.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256.0,7882.0,1195.0,397.0,84.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1340.0,4096.0,2321.0,824.0,1400.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,392.0,2349.0,2915.0,1712.0,2570.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,113.0,1541.0,2391.0,2596.0,3078.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,28.0,752.0,1778.0,4092.0,2360.0,981.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,53.0,195.0,682.0,399.0,8165.0,265.0,136.0,82.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,10.0,6.0,415.0,3861.0,2715.0,2155.0,656.0,104.0,39.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,67.0,2521.0,2797.0,2572.0,1446.0,314.0,165.0,72.0,40.0,0.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,1844.0,2180.0,2318.0,2143.0,653.0,470.0,189.0,156.0,9.0,20.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,933.0,1305.0,1720.0,2601.0,1325.0,1060.0,569.0,384.0,39.0,54.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,509.0,736.0,1622.0,2408.0,1908.0,1170.0,923.0,114.0,176.0,34.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,235.0,281.0,886.0,2288.0,2100.0,1779.0,1378.0,362.0,471.0,98.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,89.0,104.0,408.0,1605.0,1892.0,2244.0,1857.0,694.0,858.0,205.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,24.0,169.0,902.0,1244.0,1971.0,2228.0,1287.0,1591.0,551.0,4.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,41.0,338.0,713.0,1264.0,1768.0,2277.0,2500.0,1067.0,6.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,51.0,328.0,565.0,927.0,3318.0,2523.0,2203.0,51.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,78.0,151.0,322.0,1799.0,1706.0,5407.0,288.0,236.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,99.0,93.0,375.0,6067.0,3360.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,48.0,3583.0,6365.0
