Arsenal,Manchester City,Manchester United,Aston Villa,Chelsea,Liverpool,Brentford,Everton,AFC Bournemouth,Fulham,Sunderland,Newcastle United,Crystal Palace,Brighton & Hove Albion,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9378.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622.0,9152.0,117.0,60.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,203.0,4461.0,1925.0,2158.0,1188.0,56.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,2509.0,2558.0,2636.0,2020.0,210.0,24.0,6.0,6.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1639.0,2656.0,2528.0,2402.0,548.0,128.0,17.0,27.0,22.0,15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,933.0,2079.0,1773.0,2767.0,1497.0,427.0,115.0,134.0,86.0,96.0,23.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,274.0,547.0,584.0,1095.0,3667.0,1403.0,483.0,592.0,355.0,501.0,112.0,386.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,54.0,138.0,195.0,300.0,1900.0,2098.0,1083.0,1063.0,807.0,1145.0,271.0,936.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,26.0,56.0,138.0,963.0,1869.0,1345.0,1349.0,1093.0,1452.0,498.0,1171.0,30.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,5.0,10.0,22.0,60.0,588.0,1438.0,1507.0,1471.0,1333.0,1512.0,745.0,1244.0,61.0,1.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,4.0,13.0,310.0,1114.0,1513.0,1516.0,1464.0,1432.0,1018.0,1476.0,123.0,11.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,6.0,167.0,755.0,1500.0,1436.0,1507.0,1328.0,1416.0,1553.0,278.0,29.0,18.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,67.0,462.0,1223.0,1269.0,1640.0,1227.0,1955.0,1396.0,583.0,100.0,48.0,27.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,27.0,232.0,908.0,892.0,1320.0,962.0,2571.0,1151.0,1362.0,294.0,162.0,119.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,265.0,217.0,311.0,276.0,1111.0,486.0,4082.0,1718.0,929.0,567.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,25.0,48.0,43.0,221.0,97.0,2092.0,3130.0,2653.0,1650.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,9.0,7.0,52.0,17.0,965.0,2729.0,3228.0,2962.0,24.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,406.0,1952.0,2871.0,4538.0,199.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,80.0,132.0,7731.0,2015.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2040.0,7957.0
