Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9020.0,804.0,50.0,110.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,834.0,5867.0,1017.0,1952.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,122.0,2217.0,2612.0,3537.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,22.0,851.0,3581.0,2654.0,2866.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,261.0,2669.0,1720.0,5141.0,172.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,70.0,26.0,129.0,6364.0,2735.0,313.0,168.0,156.0,9.0,3.0,16.0,7.0,4.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,7.0,2433.0,4882.0,1156.0,607.0,653.0,69.0,23.0,65.0,70.0,33.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,692.0,1500.0,2737.0,1912.0,1766.0,357.0,210.0,398.0,290.0,138.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,216.0,536.0,2106.0,2067.0,2215.0,735.0,380.0,758.0,592.0,388.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,68.0,201.0,1615.0,1818.0,1843.0,1052.0,594.0,1157.0,1004.0,612.0,36.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,84.0,972.0,1359.0,1377.0,1448.0,988.0,1417.0,1333.0,947.0,57.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,575.0,1000.0,918.0,1546.0,1332.0,1547.0,1647.0,1263.0,142.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,321.0,610.0,570.0,1725.0,1685.0,1566.0,1618.0,1604.0,289.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,157.0,336.0,330.0,1479.0,2090.0,1502.0,1554.0,1944.0,600.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,110.0,150.0,1246.0,1992.0,1248.0,1502.0,2239.0,1414.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,22.0,330.0,689.0,316.0,375.0,802.0,6891.0,561.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,10.0,8.0,26.0,564.0,9374.0
