Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8504.0,1495.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1489.0,8333.0,77.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,162.0,4614.0,5211.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,5221.0,4614.0,123.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,83.0,72.0,6678.0,2415.0,93.0,470.0,34.0,41.0,99.0,2.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,2.0,2250.0,4781.0,334.0,1465.0,281.0,191.0,537.0,40.0,92.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,683.0,1728.0,1076.0,2888.0,942.0,533.0,1523.0,149.0,347.0,56.0,65.0,2.0,6.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,184.0,645.0,1710.0,1980.0,1389.0,981.0,1790.0,283.0,697.0,128.0,160.0,9.0,26.0,16.0,2.0,0.0
0.0,0.0,0.0,0.0,55.0,227.0,1758.0,1238.0,1633.0,1291.0,1637.0,469.0,1007.0,302.0,260.0,20.0,67.0,35.0,1.0,0.0
0.0,0.0,0.0,0.0,15.0,112.0,1531.0,767.0,1556.0,1486.0,1318.0,734.0,1276.0,452.0,466.0,63.0,136.0,88.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,40.0,1245.0,512.0,1366.0,1510.0,1021.0,1026.0,1427.0,685.0,690.0,102.0,234.0,135.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,13.0,907.0,313.0,1075.0,1332.0,839.0,1243.0,1399.0,967.0,962.0,219.0,444.0,281.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,632.0,202.0,811.0,1041.0,508.0,1397.0,1245.0,1376.0,1260.0,359.0,693.0,440.0,31.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,393.0,96.0,473.0,722.0,355.0,1435.0,959.0,1616.0,1475.0,642.0,1111.0,681.0,40.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,209.0,34.0,269.0,496.0,210.0,1294.0,710.0,1644.0,1469.0,1065.0,1400.0,1059.0,139.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,83.0,27.0,117.0,260.0,112.0,991.0,431.0,1361.0,1381.0,1648.0,1778.0,1549.0,253.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,42.0,91.0,39.0,649.0,279.0,892.0,1072.0,2294.0,1862.0,2087.0,627.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,23.0,12.0,258.0,101.0,400.0,632.0,2593.0,1608.0,2488.0,1702.0,166.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,30.0,19.0,104.0,96.0,923.0,601.0,1049.0,6095.0,1080.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,61.0,34.0,90.0,1103.0,8708.0
