Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
7222.0,2775.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2747.0,7055.0,153.0,41.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,153.0,6897.0,1994.0,640.0,111.0,165.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,17.0,2057.0,4623.0,1940.0,543.0,682.0,124.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,606.0,2031.0,3447.0,1554.0,1619.0,663.0,65.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,217.0,887.0,2185.0,2487.0,2487.0,1409.0,253.0,66.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,59.0,323.0,1145.0,2739.0,2449.0,2222.0,736.0,259.0,18.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,89.0,503.0,1866.0,1804.0,2902.0,1622.0,860.0,83.0,257.0,4.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0,113.0,547.0,601.0,1586.0,3439.0,2226.0,380.0,1052.0,36.0,13.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,21.0,135.0,162.0,747.0,2298.0,3288.0,938.0,2186.0,144.0,75.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,3.0,15.0,29.0,257.0,1093.0,2176.0,2348.0,3250.0,451.0,342.0,34.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,1.0,72.0,407.0,871.0,3992.0,2204.0,1268.0,991.0,179.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,72.0,207.0,1621.0,792.0,3699.0,2696.0,793.0,110.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,514.0,172.0,3006.0,3653.0,2174.0,431.0,10.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,25.0,1221.0,1854.0,4759.0,1887.0,123.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,166.0,357.0,1927.0,5815.0,1482.0,248.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,128.0,1584.0,6371.0,1896.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,159.0,2012.0,7824.0
