Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9858.0,91.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,124.0,4812.0,2960.0,1889.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,2885.0,3890.0,2600.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1767.0,2426.0,3832.0,1972.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,444.0,694.0,1646.0,7107.0,93.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,6.0,7.0,94.0,6750.0,2696.0,180.0,74.0,88.0,77.0,26.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,2424.0,5396.0,818.0,314.0,558.0,296.0,157.0,11.0,22.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,510.0,1333.0,2658.0,1198.0,1991.0,1074.0,913.0,97.0,220.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,156.0,395.0,2100.0,1598.0,2117.0,1607.0,1250.0,285.0,466.0,25.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,47.0,116.0,1627.0,1711.0,1814.0,1880.0,1501.0,477.0,747.0,78.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,41.0,1154.0,1657.0,1362.0,1870.0,1693.0,834.0,1208.0,159.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,752.0,1547.0,1054.0,1438.0,1808.0,1331.0,1683.0,347.0,29.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,486.0,1173.0,670.0,1086.0,1552.0,2063.0,2200.0,693.0,75.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,603.0,270.0,542.0,843.0,3330.0,2108.0,1785.0,328.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,123.0,72.0,126.0,240.0,1458.0,1226.0,5213.0,1472.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,17.0,113.0,118.0,1641.0,7574.0,525.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,510.0,9436.0
