Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8372.0,1628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627.0,8357.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,6286.0,3699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3702.0,6276.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,19.0,6725.0,1724.0,1047.0,197.0,33.0,215.0,19.0,12.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2063.0,4029.0,2088.0,682.0,203.0,667.0,107.0,88.0,28.0,40.0,3.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,775.0,2388.0,2821.0,1410.0,497.0,1310.0,304.0,219.0,101.0,141.0,6.0,21.0,5.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,286.0,1085.0,1773.0,1979.0,942.0,2200.0,664.0,436.0,208.0,333.0,23.0,32.0,31.0,7.0,1.0,0.0
0.0,0.0,0.0,0.0,99.0,484.0,976.0,1963.0,1331.0,1864.0,1151.0,718.0,494.0,659.0,50.0,113.0,58.0,39.0,1.0,0.0
0.0,0.0,0.0,0.0,29.0,187.0,589.0,1509.0,1585.0,1343.0,1457.0,1063.0,721.0,962.0,99.0,220.0,170.0,63.0,3.0,0.0
0.0,0.0,0.0,0.0,4.0,62.0,332.0,982.0,1496.0,929.0,1565.0,1334.0,1097.0,1206.0,182.0,387.0,292.0,118.0,14.0,0.0
0.0,0.0,0.0,0.0,3.0,25.0,176.0,602.0,1325.0,651.0,1487.0,1380.0,1310.0,1330.0,299.0,647.0,491.0,249.0,25.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,105.0,370.0,1120.0,391.0,1218.0,1412.0,1386.0,1402.0,507.0,913.0,690.0,415.0,64.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,50.0,188.0,741.0,235.0,977.0,1220.0,1461.0,1270.0,757.0,1274.0,1039.0,652.0,132.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,27.0,69.0,417.0,125.0,543.0,971.0,1243.0,1022.0,1275.0,1631.0,1418.0,966.0,292.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,31.0,203.0,36.0,312.0,616.0,955.0,761.0,1758.0,1694.0,1674.0,1364.0,573.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,83.0,29.0,134.0,359.0,616.0,498.0,2079.0,1456.0,1748.0,1890.0,1075.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,24.0,5.0,55.0,149.0,309.0,285.0,1877.0,1138.0,1549.0,2480.0,2051.0,70.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,70.0,85.0,1037.0,457.0,800.0,1666.0,5369.0,486.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,16.0,33.0,89.0,400.0,9413.0
