Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8515.0,1482.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1470.0,8346.0,63.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,164.0,4678.0,5135.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,5169.0,4679.0,116.0,25.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,83.0,56.0,6604.0,2544.0,72.0,427.0,52.0,39.0,111.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,6.0,2261.0,4724.0,366.0,1469.0,311.0,204.0,523.0,31.0,78.0,9.0,10.0,0.0,2.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,727.0,1712.0,1118.0,2875.0,934.0,581.0,1460.0,135.0,319.0,78.0,48.0,3.0,7.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,195.0,607.0,1588.0,1941.0,1485.0,1068.0,1832.0,275.0,673.0,129.0,158.0,4.0,33.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,54.0,241.0,1755.0,1252.0,1558.0,1298.0,1650.0,497.0,982.0,299.0,302.0,28.0,50.0,34.0,0.0,0.0
0.0,0.0,0.0,0.0,29.0,95.0,1618.0,847.0,1525.0,1488.0,1349.0,688.0,1203.0,422.0,453.0,71.0,148.0,63.0,1.0,0.0
0.0,0.0,0.0,0.0,5.0,28.0,1275.0,501.0,1375.0,1419.0,1039.0,1016.0,1432.0,673.0,693.0,97.0,277.0,166.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,16.0,937.0,316.0,1095.0,1308.0,808.0,1207.0,1522.0,951.0,946.0,202.0,438.0,247.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,624.0,202.0,782.0,1063.0,532.0,1389.0,1229.0,1394.0,1184.0,403.0,706.0,464.0,23.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,387.0,92.0,433.0,705.0,355.0,1444.0,1012.0,1578.0,1497.0,677.0,1023.0,735.0,56.0,3.0
0.0,0.0,0.0,0.0,1.0,0.0,175.0,47.0,266.0,459.0,197.0,1360.0,743.0,1603.0,1576.0,1048.0,1330.0,1045.0,148.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,62.0,26.0,121.0,230.0,100.0,1020.0,444.0,1410.0,1388.0,1664.0,1739.0,1515.0,268.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,54.0,107.0,29.0,648.0,244.0,902.0,1100.0,2260.0,1928.0,2011.0,657.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,31.0,12.0,240.0,91.0,457.0,545.0,2543.0,1693.0,2544.0,1669.0,165.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,21.0,93.0,99.0,940.0,573.0,1075.0,6019.0,1132.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,60.0,53.0,87.0,1148.0,8649.0
