Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
7318.0,2677.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2655.0,7175.0,135.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,138.0,6942.0,1957.0,622.0,140.0,156.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,2002.0,4631.0,1899.0,576.0,706.0,154.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,642.0,1994.0,3380.0,1644.0,1567.0,688.0,73.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,228.0,907.0,2257.0,2467.0,2461.0,1364.0,231.0,74.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.0,364.0,1184.0,2726.0,2478.0,2272.0,646.0,217.0,14.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,94.0,522.0,1802.0,1821.0,2968.0,1616.0,823.0,86.0,256.0,5.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,18.0,118.0,505.0,615.0,1549.0,3505.0,2190.0,367.0,1083.0,30.0,18.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,15.0,117.0,156.0,677.0,2369.0,3433.0,961.0,2067.0,132.0,67.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,20.0,37.0,234.0,1062.0,2151.0,2381.0,3325.0,447.0,306.0,34.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.0,395.0,823.0,4041.0,2205.0,1325.0,937.0,191.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,74.0,229.0,1578.0,799.0,3691.0,2729.0,778.0,109.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,46.0,490.0,179.0,2927.0,3647.0,2184.0,496.0,19.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,18.0,1255.0,1923.0,4734.0,1853.0,128.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,180.0,359.0,1964.0,5889.0,1368.0,234.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,107.0,1491.0,6425.0,1957.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,148.0,2057.0,7792.0
