Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9005.0,799.0,49.0,134.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,848.0,5857.0,988.0,1950.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,124.0,2159.0,2633.0,3499.0,1584.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,919.0,3510.0,2629.0,2903.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,265.0,2731.0,1766.0,4992.0,186.0,51.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,88.0,22.0,142.0,6428.0,2638.0,352.0,150.0,150.0,10.0,2.0,7.0,7.0,3.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,8.0,2421.0,4946.0,1077.0,611.0,671.0,77.0,30.0,60.0,61.0,37.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,636.0,1492.0,2806.0,1798.0,1829.0,400.0,201.0,402.0,277.0,156.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,200.0,566.0,2044.0,2177.0,2169.0,688.0,449.0,725.0,596.0,379.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,81.0,220.0,1555.0,1861.0,1875.0,1077.0,629.0,1070.0,982.0,625.0,24.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,21.0,57.0,1044.0,1361.0,1307.0,1408.0,1006.0,1399.0,1348.0,976.0,73.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,609.0,950.0,894.0,1589.0,1306.0,1597.0,1628.0,1252.0,148.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,314.0,626.0,596.0,1655.0,1679.0,1603.0,1657.0,1585.0,272.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,143.0,328.0,338.0,1506.0,2018.0,1522.0,1577.0,1975.0,577.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,130.0,154.0,1231.0,2045.0,1258.0,1480.0,2277.0,1333.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,16.0,347.0,629.0,341.0,378.0,717.0,7018.0,544.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,16.0,9.0,18.0,547.0,9392.0
