Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Newcastle United,AFC Bournemouth,Fulham,Brighton & Hove Albion,Sunderland,Crystal Palace,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9791.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.0,9592.0,155.0,25.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,186.0,6551.0,1147.0,880.0,1197.0,31.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,2034.0,2853.0,2187.0,2551.0,254.0,54.0,21.0,0.0,12.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,876.0,2860.0,2507.0,2749.0,608.0,139.0,115.0,14.0,39.0,81.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,310.0,2115.0,2581.0,2093.0,1454.0,458.0,443.0,71.0,170.0,248.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,61.0,706.0,1062.0,862.0,2891.0,1074.0,1436.0,302.0,524.0,828.0,177.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,203.0,473.0,305.0,1844.0,1498.0,2068.0,720.0,924.0,1382.0,375.0,193.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,70.0,176.0,149.0,1273.0,1770.0,1699.0,1089.0,1286.0,1533.0,598.0,332.0,21.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,16.0,82.0,52.0,797.0,1658.0,1396.0,1449.0,1541.0,1577.0,839.0,542.0,42.0,6.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,35.0,23.0,440.0,1366.0,1123.0,1719.0,1663.0,1509.0,1226.0,803.0,76.0,13.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,7.0,5.0,234.0,957.0,775.0,1806.0,1604.0,1250.0,1717.0,1363.0,224.0,45.0,5.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,2.0,132.0,651.0,569.0,1512.0,1251.0,928.0,2180.0,2106.0,470.0,146.0,30.0,21.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,36.0,317.0,294.0,1003.0,786.0,473.0,2098.0,3090.0,1209.0,465.0,111.0,118.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,51.0,276.0,176.0,145.0,606.0,1192.0,3904.0,2339.0,696.0,556.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,38.0,23.0,25.0,109.0,245.0,2536.0,3447.0,2092.0,1474.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,39.0,1085.0,2194.0,3517.0,3125.0,20.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,425.0,1336.0,3439.0,4629.0,145.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,105.0,71.0,7597.0,2216.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2236.0,7763.0
