Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
6923.0,3076.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3040.0,6754.0,159.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,156.0,6828.0,2035.0,639.0,132.0,160.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,2114.0,4446.0,1931.0,628.0,732.0,117.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,614.0,2054.0,3352.0,1659.0,1569.0,692.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,215.0,938.0,2206.0,2474.0,2477.0,1392.0,218.0,59.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,58.0,366.0,1217.0,2684.0,2482.0,2282.0,614.0,224.0,21.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,99.0,525.0,1783.0,1831.0,2936.0,1650.0,803.0,81.0,273.0,6.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,14.0,107.0,503.0,581.0,1523.0,3566.0,2233.0,369.0,1050.0,39.0,13.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,20.0,112.0,137.0,743.0,2307.0,3395.0,924.0,2126.0,144.0,90.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2.0,22.0,25.0,231.0,1092.0,2154.0,2494.0,3190.0,461.0,296.0,32.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,5.0,64.0,412.0,886.0,3882.0,2263.0,1334.0,955.0,183.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,71.0,197.0,1638.0,811.0,3701.0,2705.0,776.0,93.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,490.0,200.0,2994.0,3652.0,2120.0,470.0,28.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,92.0,23.0,1160.0,1906.0,4757.0,1839.0,200.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,151.0,368.0,1951.0,5640.0,1639.0,248.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,174.0,1768.0,6297.0,1742.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,177.0,1834.0,7985.0
