Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Udinese,Lazio,Parma,Genoa,Cagliari,Torino,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9766.0,221.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.0,7872.0,1245.0,407.0,66.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1368.0,4057.0,2283.0,878.0,1399.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,372.0,2415.0,2869.0,1768.0,2517.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,133.0,1430.0,2412.0,2588.0,3189.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32.0,808.0,1844.0,3975.0,2345.0,984.0,1.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,33.0,182.0,718.0,361.0,8044.0,272.0,328.0,14.0,41.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,7.0,5.0,579.0,3662.0,3767.0,681.0,1125.0,86.0,53.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,73.0,3009.0,2812.0,1543.0,1911.0,318.0,212.0,70.0,44.0,5.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,1721.0,1678.0,2497.0,2385.0,790.0,514.0,224.0,157.0,9.0,18.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,878.0,2431.0,2124.0,1445.0,1126.0,554.0,427.0,39.0,70.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,335.0,1424.0,1260.0,2307.0,1906.0,1139.0,962.0,136.0,182.0,48.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,138.0,798.0,688.0,2136.0,2078.0,1835.0,1370.0,319.0,434.0,99.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,39.0,410.0,312.0,1627.0,1803.0,2215.0,1822.0,677.0,860.0,205.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,161.0,116.0,878.0,1238.0,1993.0,2209.0,1257.0,1575.0,550.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,33.0,338.0,690.0,1250.0,1748.0,2260.0,2560.0,1067.0,11.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,66.0,314.0,542.0,917.0,3311.0,2476.0,2282.0,56.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,63.0,154.0,327.0,1880.0,1717.0,5314.0,313.0,225.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,103.0,104.0,387.0,6099.0,3298.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,35.0,3518.0,6442.0
