Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8551.0,1445.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1438.0,8397.0,81.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,146.0,4601.0,5235.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,5236.0,4614.0,108.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,74.0,60.0,6576.0,2522.0,132.0,453.0,44.0,34.0,96.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,5.0,2307.0,4612.0,578.0,1369.0,299.0,180.0,501.0,40.0,81.0,8.0,10.0,0.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,675.0,1752.0,1345.0,2865.0,826.0,537.0,1445.0,108.0,341.0,48.0,42.0,6.0,6.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,228.0,643.0,1826.0,1975.0,1385.0,994.0,1753.0,259.0,647.0,144.0,104.0,8.0,21.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,58.0,264.0,1735.0,1311.0,1623.0,1253.0,1645.0,475.0,965.0,259.0,287.0,20.0,59.0,46.0,0.0,0.0
0.0,0.0,0.0,0.0,24.0,99.0,1439.0,839.0,1658.0,1523.0,1390.0,698.0,1201.0,413.0,442.0,51.0,136.0,85.0,2.0,0.0
0.0,0.0,0.0,0.0,13.0,48.0,1144.0,520.0,1387.0,1460.0,1067.0,1006.0,1478.0,658.0,708.0,101.0,269.0,138.0,3.0,0.0
0.0,0.0,0.0,0.0,3.0,22.0,768.0,312.0,1135.0,1382.0,826.0,1224.0,1473.0,1003.0,878.0,219.0,478.0,272.0,5.0,0.0
0.0,0.0,0.0,0.0,1.0,5.0,503.0,176.0,752.0,1112.0,549.0,1466.0,1254.0,1411.0,1181.0,374.0,756.0,441.0,19.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,290.0,110.0,471.0,724.0,369.0,1448.0,984.0,1615.0,1504.0,680.0,1042.0,710.0,47.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,155.0,49.0,255.0,451.0,218.0,1278.0,693.0,1647.0,1596.0,1071.0,1426.0,1048.0,109.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,68.0,18.0,122.0,223.0,92.0,1002.0,485.0,1366.0,1395.0,1637.0,1836.0,1474.0,270.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,36.0,102.0,40.0,649.0,261.0,917.0,1097.0,2328.0,1820.0,2066.0,641.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,21.0,8.0,303.0,108.0,417.0,651.0,2497.0,1583.0,2522.0,1713.0,169.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,43.0,24.0,90.0,102.0,941.0,530.0,1112.0,6144.0,1009.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.0,35.0,68.0,1047.0,8779.0
