Arsenal,Manchester City,Manchester United,Aston Villa,Chelsea,Liverpool,Brentford,Everton,AFC Bournemouth,Fulham,Sunderland,Newcastle United,Crystal Palace,Brighton & Hove Albion,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9353.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646.0,9141.0,106.0,60.0,32.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,188.0,4534.0,1880.0,2160.0,1180.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,2531.0,2601.0,2631.0,1948.0,221.0,25.0,4.0,3.0,10.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1652.0,2640.0,2499.0,2389.0,595.0,130.0,19.0,37.0,10.0,12.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,868.0,2074.0,1758.0,2819.0,1522.0,424.0,113.0,157.0,85.0,92.0,17.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,244.0,583.0,626.0,1121.0,3701.0,1410.0,457.0,559.0,356.0,501.0,108.0,331.0,2.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,45.0,123.0,190.0,330.0,1802.0,2187.0,1031.0,1099.0,792.0,1105.0,301.0,989.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,16.0,25.0,73.0,126.0,969.0,1803.0,1317.0,1401.0,1037.0,1471.0,535.0,1197.0,29.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,13.0,22.0,45.0,526.0,1414.0,1516.0,1475.0,1333.0,1504.0,743.0,1324.0,74.0,5.0,3.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,7.0,22.0,305.0,1113.0,1520.0,1522.0,1450.0,1468.0,1066.0,1378.0,128.0,11.0,8.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,4.0,176.0,758.0,1452.0,1450.0,1599.0,1352.0,1387.0,1500.0,268.0,23.0,17.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,92.0,475.0,1287.0,1259.0,1632.0,1179.0,1903.0,1497.0,524.0,78.0,44.0,29.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,32.0,220.0,982.0,821.0,1347.0,978.0,2600.0,1119.0,1298.0,287.0,191.0,125.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,256.0,193.0,290.0,284.0,1067.0,468.0,4010.0,1770.0,1045.0,576.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,21.0,51.0,44.0,227.0,95.0,2246.0,3073.0,2574.0,1616.0,6.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,7.0,41.0,14.0,1012.0,2731.0,3292.0,2857.0,30.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,397.0,1979.0,2725.0,4652.0,220.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,100.0,131.0,7699.0,2022.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2045.0,7953.0
