Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9069.0,733.0,48.0,139.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,800.0,5750.0,1008.0,2042.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,106.0,2316.0,2644.0,3439.0,1493.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,895.0,3506.0,2602.0,2963.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,305.0,2721.0,1748.0,4985.0,183.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,72.0,28.0,146.0,6286.0,2738.0,342.0,195.0,161.0,9.0,2.0,5.0,11.0,4.0,0.0,0.0
0.0,0.0,0.0,1.0,2.0,3.0,2464.0,4920.0,1076.0,601.0,669.0,69.0,30.0,64.0,69.0,30.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,716.0,1470.0,2775.0,1841.0,1803.0,386.0,180.0,395.0,282.0,151.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,228.0,540.0,2134.0,2068.0,2119.0,732.0,426.0,760.0,623.0,359.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,79.0,208.0,1521.0,1856.0,1891.0,1103.0,638.0,1038.0,1013.0,625.0,28.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,26.0,58.0,977.0,1389.0,1378.0,1430.0,986.0,1393.0,1418.0,881.0,63.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,632.0,956.0,916.0,1636.0,1346.0,1567.0,1580.0,1200.0,153.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,346.0,583.0,560.0,1636.0,1735.0,1671.0,1608.0,1551.0,305.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,153.0,362.0,331.0,1476.0,2060.0,1469.0,1580.0,1938.0,624.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,136.0,139.0,1167.0,1901.0,1278.0,1428.0,2423.0,1431.0,58.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,32.0,347.0,689.0,348.0,378.0,810.0,6859.0,523.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,12.0,10.0,28.0,523.0,9410.0
