Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Mainz,FC Cologne,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9714.0,209.0,62.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,261.0,5208.0,2671.0,1338.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,2516.0,3489.0,2460.0,1515.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1506.0,2473.0,3185.0,2812.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,556.0,1287.0,2927.0,5007.0,215.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,18.0,78.0,142.0,7690.0,1331.0,341.0,220.0,87.0,27.0,50.0,8.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1528.0,4731.0,1634.0,880.0,503.0,236.0,389.0,85.0,6.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,393.0,2224.0,2692.0,1574.0,1130.0,581.0,947.0,362.0,46.0,48.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,108.0,966.0,1989.0,1866.0,1701.0,1111.0,1356.0,658.0,118.0,121.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,35.0,413.0,1392.0,1717.0,1886.0,1420.0,1631.0,1003.0,254.0,225.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,216.0,948.0,1437.0,1728.0,1679.0,1666.0,1326.0,436.0,503.0,52.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,87.0,561.0,1201.0,1374.0,1703.0,1555.0,1731.0,778.0,861.0,147.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,307.0,770.0,889.0,1748.0,1282.0,1891.0,1343.0,1407.0,344.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,112.0,258.0,514.0,981.0,717.0,1542.0,2649.0,2350.0,868.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,72.0,176.0,432.0,344.0,1129.0,3055.0,3018.0,1732.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,12.0,82.0,61.0,263.0,1304.0,1431.0,6606.0,233.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,26.0,218.0,9742.0
