Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Lorient,Brest,Toulouse,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
8782.0,1210.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199.0,8166.0,582.0,43.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,579.0,7543.0,1232.0,234.0,211.0,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,43.0,1393.0,5056.0,1178.0,1229.0,1047.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,333.0,2049.0,2658.0,2427.0,2198.0,308.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,102.0,1069.0,2704.0,2500.0,2805.0,670.0,89.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,35.0,444.0,2348.0,2294.0,2689.0,1477.0,383.0,240.0,86.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,90.0,690.0,1034.0,872.0,3588.0,1832.0,1257.0,600.0,21.0,9.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,13.0,153.0,244.0,180.0,2114.0,2986.0,2530.0,1627.0,106.0,35.0,6.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,26.0,54.0,19.0,1199.0,2560.0,2974.0,2602.0,361.0,144.0,44.0,14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,7.0,5.0,488.0,1766.0,2149.0,3547.0,1201.0,537.0,187.0,110.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,303.0,619.0,1122.0,4168.0,1943.0,1068.0,672.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,149.0,306.0,2595.0,3233.0,1965.0,1656.0,34.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,22.0,87.0,1168.0,2502.0,3074.0,2970.0,158.0,12.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,366.0,1503.0,3262.0,4119.0,672.0,60.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,91.0,383.0,444.0,7111.0,1828.0,132.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,9.0,1909.0,6729.0,1342.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1370.0,8522.0
