Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Real Sociedad,Espanyol,Getafe,Athletic Club,Osasuna,Girona,Rayo Vallecano,Valencia,Sevilla,Mallorca,Alavés,Elche,Levante,Real Oviedo
8607.0,1392.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1387.0,8516.0,78.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,88.0,6088.0,3818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,3808.0,6124.0,43.0,16.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,24.0,37.0,6236.0,2493.0,1071.0,38.0,24.0,16.0,47.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,2512.0,4636.0,2174.0,201.0,119.0,86.0,177.0,39.0,46.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,928.0,2062.0,3965.0,794.0,548.0,341.0,817.0,220.0,235.0,45.0,28.0,13.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,200.0,547.0,1510.0,1782.0,1243.0,945.0,1964.0,705.0,736.0,187.0,114.0,46.0,12.0,8.0,1.0,0.0
0.0,0.0,0.0,0.0,55.0,179.0,596.0,1808.0,1554.0,1167.0,1831.0,991.0,1066.0,348.0,208.0,123.0,28.0,46.0,0.0,0.0
0.0,0.0,0.0,0.0,22.0,45.0,341.0,1523.0,1570.0,1309.0,1427.0,1226.0,1212.0,534.0,378.0,237.0,75.0,97.0,4.0,0.0
0.0,0.0,0.0,0.0,2.0,18.0,172.0,1306.0,1370.0,1387.0,1157.0,1358.0,1300.0,713.0,576.0,342.0,127.0,168.0,4.0,0.0
0.0,0.0,0.0,0.0,2.0,3.0,91.0,992.0,1204.0,1362.0,886.0,1409.0,1303.0,945.0,753.0,532.0,207.0,303.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,35.0,700.0,921.0,1258.0,710.0,1301.0,1238.0,1121.0,1078.0,776.0,370.0,466.0,25.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,27.0,474.0,686.0,929.0,476.0,1034.0,1076.0,1425.0,1394.0,1100.0,582.0,730.0,61.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,229.0,424.0,628.0,277.0,806.0,789.0,1508.0,1636.0,1416.0,988.0,1126.0,153.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,106.0,216.0,346.0,150.0,523.0,514.0,1417.0,1584.0,1731.0,1469.0,1582.0,327.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,92.0,157.0,49.0,262.0,306.0,1065.0,1293.0,1714.0,2229.0,1983.0,713.0,101.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,63.0,28.0,106.0,147.0,569.0,716.0,1372.0,2685.0,2183.0,1768.0,330.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,3.0,13.0,25.0,118.0,217.0,542.0,1095.0,1114.0,5367.0,1492.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,55.0,131.0,192.0,1569.0,8029.0
