home_team,away_team,p_home_book,p_draw_book,p_away_book
Arsenal,Everton,0.7264210308712701,0.1848696443024652,0.0887093248262647
Aston Villa,West Ham United,0.5228017157761905,0.2500923351376768,0.2271059490861327
Bournemouth,Manchester United,0.2997839868048377,0.24382069406353038,0.4563953191316319
Brentford,Wolverhampton Wanderers,0.6005635717492023,0.22622447809029317,0.17321195016050456
Brighton and Hove Albion,Liverpool,0.2965590396213108,0.2525655796459879,0.4508753807327013
Burnley,Bournemouth,0.24857016267882537,0.2529629396495167,0.4984668976716579
Chelsea,Newcastle United,0.5321061125409772,0.23369066416055156,0.23420322329847126
Crystal Palace,Leeds United,0.43075201382258865,0.2838436309883892,0.2854043551890222
Everton,Chelsea,0.25794146823315717,0.2562994263841178,0.485759105382725
Fulham,Burnley,0.6171037248409588,0.22910587859928008,0.15379039655976126
Leeds United,Brentford,0.37177042438293206,0.27724709277885856,0.3509824828382094
Liverpool,Tottenham Hotspur,0.7119463668330374,0.17184809330651415,0.11620553986044851
Manchester United,Aston Villa,0.5397246059879257,0.23493964176517,0.2253357522469043
Newcastle United,Sunderland,0.5761454875605238,0.24068747656438372,0.1831670358750925
Nottingham Forest,Fulham,0.4424680872572191,0.2752411736203018,0.2822907391224791
Sunderland,Brighton and Hove Albion,0.28891092335998875,0.2773115759807379,0.43377750065927334
Tottenham Hotspur,Nottingham Forest,0.38074268190690186,0.2799566342403391,0.339300683852759
West Ham United,Manchester City,0.20091096209532236,0.21882294666777094,0.5802660912369068
