utcDate,status,homeTeam,awayTeam
2026-05-17T14:00:00Z,TIMED,Wolverhampton Wanderers FC,Fulham FC
2026-05-24T15:00:00Z,TIMED,Sunderland AFC,Chelsea FC
2026-05-24T15:00:00Z,TIMED,Brighton & Hove Albion FC,Manchester United FC
2026-05-24T15:00:00Z,TIMED,Crystal Palace FC,Arsenal FC
2026-05-24T15:00:00Z,TIMED,Burnley FC,Wolverhampton Wanderers FC
2026-05-24T15:00:00Z,TIMED,Fulham FC,Newcastle United FC
2026-05-24T15:00:00Z,TIMED,Liverpool FC,Brentford FC
2026-05-24T15:00:00Z,TIMED,Manchester City FC,Aston Villa FC
2026-05-24T15:00:00Z,TIMED,Nottingham Forest FC,AFC Bournemouth
2026-05-24T15:00:00Z,TIMED,Tottenham Hotspur FC,Everton FC
2026-05-24T15:00:00Z,TIMED,West Ham United FC,Leeds United FC
