home_team,away_team,p_home_book,p_draw_book,p_away_book
AC Milan,Torino,0.6897214367901265,0.19706764311031155,0.11321092009956199
AS Roma,Lecce,0.6876274494190132,0.20759451930806486,0.10477803127292198
Atalanta BC,Hellas Verona,0.6787359429162624,0.20980332586635705,0.1114607312173805
Bologna,Lazio,0.41398986064591003,0.309954439491909,0.276055699862181
Cagliari,Napoli,0.15942668386534686,0.256442462936139,0.5841308531985142
Como,AS Roma,0.4337409973593093,0.2862827081995707,0.2799762944411201
Como,Pisa,0.739485311224715,0.175421209107135,0.08509347966815003
Cremonese,Fiorentina,0.25152485095457155,0.26764416971212657,0.4808309793333019
Fiorentina,Inter Milan,0.19222152167281784,0.236487951006575,0.5712905273206071
Genoa,Udinese,0.43157487320068877,0.3063312021998058,0.26209392459950537
Hellas Verona,Genoa,0.2923586174319913,0.31316875691898455,0.3944726256490242
Inter Milan,Atalanta BC,0.6132263915146753,0.21983272396917175,0.166940884516153
Juventus,Sassuolo,0.70846875068068,0.19158046523257335,0.09995078408674658
Lazio,AC Milan,0.24733471681952063,0.2873062153817425,0.4653590677987369
Lazio,Sassuolo,0.5508560219913875,0.4228781417071872,0.026265836301425375
Napoli,Lecce,0.6856810084137175,0.21479658744796387,0.09952240413831855
Parma,Cremonese,0.4461461015772331,0.29852251355242754,0.25533138487033946
Pisa,Cagliari,0.3749715283112529,0.3119431665126995,0.3130853051760476
Sassuolo,Bologna,0.35059884542240966,0.28806757219996443,0.36133358237762586
Torino,Parma,0.4468074491827262,0.3049789565354191,0.2482135942818547
Udinese,Juventus,0.16606290274940802,0.2459427212517379,0.5879943759988541
