home_team,away_team,p_home_book,p_draw_book,p_away_book
Alavés,Villarreal,0.2836925834547501,0.27742702360496135,0.43888039294028863
Athletic Bilbao,Real Betis,0.4674535727405753,0.27589638947233636,0.2566500377870882
Atlético Madrid,Getafe,0.595567755720416,0.26641111374640575,0.1380211305331783
Barcelona,Rayo Vallecano,0.7539682539682541,0.1507936507936508,0.09523809523809525
Barcelona,Sevilla,0.7644847889696078,0.14487766073572564,0.09063755029466651
CA Osasuna,Girona,0.48994292958165286,0.2683135791809197,0.2417434912374274
Celta Vigo,Alavés,0.5434782608695653,0.27173913043478265,0.1847826086956522
Elche CF,Mallorca,0.44490912350176237,0.2848862609760341,0.27020461552220354
Espanyol,Oviedo,0.5051265790740583,0.28200325151323785,0.21287016941270376
Getafe,Real Betis,0.9019980084136908,0.07783516231431117,0.020166829271998064
Girona,Athletic Bilbao,0.35258553852852764,0.28643179186261275,0.3609826696088595
Levante,Oviedo,0.4533083756549564,0.282551066136298,0.2641405582087456
Mallorca,Espanyol,0.3760214950233057,0.30860714549375406,0.31537135948294026
Oviedo,Valencia,0.3463895218463371,0.2960918875824909,0.35751859057117197
Rayo Vallecano,Levante,0.5452116039735277,0.2554015306987695,0.19938686532770275
Real Betis,Celta Vigo,0.43220620356926454,0.2871599943434167,0.28063380208731875
Real Madrid,Atlético Madrid,0.5253508058004065,0.2403666914154214,0.23428250278417206
Real Madrid,Elche CF,0.7596642348710329,0.14981416691292926,0.09052159821603795
Real Sociedad,CA Osasuna,0.4901633813381175,0.2771077486759541,0.23272886998592843
Sevilla,Rayo Vallecano,0.3584997714957914,0.3119553739395636,0.32954485456464505
Sevilla,Valencia,0.44206519996188764,0.29587451517172625,0.26206028486638605
Valencia,Alavés,0.436598689936762,0.3111590004579033,0.2522423096053347
Villarreal,Real Sociedad,0.5188799758413003,0.2492633753633991,0.23185664879530057
