Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9749.0,193.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,5680.0,2872.0,1106.0,89.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,2656.0,3723.0,2886.0,512.0,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1103.0,2361.0,3923.0,1773.0,798.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,311.0,780.0,1525.0,4580.0,2485.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,56.0,209.0,520.0,2598.0,5348.0,1262.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,5.0,32.0,445.0,1134.0,7963.0,266.0,119.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,9.0,371.0,6002.0,1965.0,879.0,756.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,36.0,2279.0,3863.0,2062.0,1632.0,14.0,58.0,45.0,5.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,1016.0,2522.0,3231.0,2683.0,62.0,235.0,194.0,13.0,33.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,1332.0,2778.0,3584.0,239.0,823.0,605.0,80.0,156.0,5.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,176.0,720.0,940.0,1208.0,3183.0,2014.0,536.0,1055.0,40.0,92.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,217.0,286.0,2028.0,2286.0,2228.0,1024.0,1531.0,176.0,201.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,80.0,2333.0,1511.0,1934.0,1492.0,1818.0,332.0,418.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,2079.0,1033.0,1525.0,1955.0,1988.0,653.0,732.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1469.0,603.0,975.0,2426.0,1805.0,1352.0,1358.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,203.0,385.0,1669.0,1112.0,3128.0,2949.0,2.0,59.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,56.0,91.0,795.0,489.0,4125.0,4064.0,20.0,288.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,186.0,177.0,3281.0,6343.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6697.0,3300.0
