Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9345.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655.0,9249.0,75.0,6.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,88.0,6564.0,851.0,1427.0,877.0,176.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,1952.0,2413.0,2984.0,1951.0,566.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,886.0,2810.0,2481.0,2322.0,1098.0,397.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,366.0,2167.0,1964.0,2417.0,2052.0,989.0,10.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,134.0,1328.0,887.0,1670.0,3658.0,2079.0,50.0,146.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,22.0,385.0,235.0,702.0,2187.0,4450.0,612.0,1043.0,347.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,37.0,10.0,50.0,234.0,1313.0,2788.0,3748.0,1620.0,65.0,132.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,1.0,7.0,27.0,458.0,3245.0,2956.0,2667.0,246.0,366.0,17.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,155.0,2543.0,1657.0,3783.0,711.0,1034.0,81.0,33.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,603.0,331.0,1130.0,2965.0,3902.0,694.0,329.0,31.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.0,78.0,349.0,3770.0,2901.0,1647.0,968.0,153.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,51.0,1720.0,1271.0,3579.0,2651.0,708.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,471.0,356.0,2989.0,4114.0,2034.0,28.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,26.0,973.0,1867.0,6474.0,542.0,71.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,31.0,579.0,7192.0,2181.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,2237.0,7742.0
