Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8436.0,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1562.0,8399.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,6159.0,3803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3808.0,6171.0,17.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,19.0,6983.0,1510.0,890.0,182.0,80.0,230.0,63.0,28.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1845.0,3782.0,2056.0,744.0,353.0,737.0,252.0,109.0,61.0,54.0,0.0,4.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,755.0,2324.0,2445.0,1322.0,713.0,1354.0,474.0,247.0,157.0,181.0,7.0,14.0,6.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,258.0,1211.0,1711.0,1818.0,1185.0,1814.0,824.0,473.0,300.0,314.0,17.0,44.0,20.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,83.0,622.0,1130.0,1703.0,1430.0,1723.0,1176.0,687.0,551.0,639.0,54.0,124.0,45.0,32.0,1.0,0.0
0.0,0.0,0.0,0.0,38.0,299.0,730.0,1446.0,1513.0,1380.0,1440.0,1002.0,769.0,907.0,77.0,225.0,110.0,63.0,1.0,0.0
0.0,0.0,0.0,0.0,13.0,134.0,422.0,1057.0,1445.0,1053.0,1489.0,1251.0,1060.0,1176.0,176.0,374.0,227.0,114.0,9.0,0.0
0.0,0.0,0.0,0.0,7.0,73.0,308.0,779.0,1216.0,692.0,1364.0,1423.0,1296.0,1336.0,260.0,660.0,364.0,203.0,19.0,0.0
0.0,0.0,0.0,0.0,1.0,24.0,161.0,491.0,942.0,487.0,1206.0,1434.0,1453.0,1336.0,480.0,985.0,607.0,336.0,57.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,94.0,269.0,603.0,302.0,835.0,1301.0,1418.0,1350.0,801.0,1376.0,930.0,576.0,135.0,1.0
0.0,0.0,0.0,0.0,0.0,7.0,39.0,128.0,320.0,148.0,503.0,968.0,1178.0,1113.0,1320.0,1781.0,1282.0,963.0,245.0,5.0
0.0,0.0,0.0,0.0,0.0,4.0,10.0,42.0,141.0,53.0,228.0,599.0,847.0,789.0,1886.0,1649.0,1743.0,1399.0,593.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,50.0,16.0,105.0,342.0,567.0,480.0,2081.0,1385.0,1903.0,1931.0,1093.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,9.0,34.0,120.0,279.0,264.0,1884.0,1014.0,1782.0,2536.0,1903.0,162.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,16.0,53.0,58.0,911.0,347.0,900.0,1679.0,5367.0,659.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,18.0,78.0,156.0,577.0,9125.0
