Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9998.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9840.0,104.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,138.0,5000.0,2734.0,1837.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,2772.0,3710.0,2606.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1608.0,2502.0,3608.0,2280.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,515.0,1024.0,1915.0,6426.0,91.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,5.0,5.0,105.0,5991.0,3301.0,218.0,113.0,146.0,73.0,41.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,2791.0,4882.0,846.0,420.0,536.0,283.0,191.0,21.0,23.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,769.0,1251.0,2458.0,1308.0,1925.0,999.0,944.0,159.0,176.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,236.0,355.0,2105.0,1638.0,2087.0,1461.0,1312.0,344.0,413.0,49.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,92.0,128.0,1576.0,1710.0,1844.0,1765.0,1508.0,595.0,683.0,94.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,24.0,44.0,1123.0,1641.0,1395.0,1798.0,1652.0,948.0,1140.0,226.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,906.0,1426.0,1003.0,1481.0,1664.0,1468.0,1589.0,406.0,42.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,1096.0,674.0,1214.0,1445.0,2043.0,2061.0,862.0,109.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,532.0,314.0,712.0,926.0,2874.0,2197.0,1853.0,366.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,113.0,73.0,207.0,290.0,1412.0,1485.0,4815.0,1533.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,7.0,27.0,134.0,229.0,1637.0,7571.0,388.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,46.0,365.0,9584.0
