Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9749.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,9518.0,177.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,208.0,6611.0,2398.0,404.0,342.0,20.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,22.0,2285.0,4620.0,1593.0,1173.0,133.0,106.0,24.0,31.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,661.0,1985.0,2906.0,2872.0,584.0,547.0,98.0,246.0,47.0,33.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,206.0,707.0,2444.0,2569.0,1457.0,1124.0,351.0,747.0,175.0,125.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,43.0,176.0,1289.0,1408.0,2172.0,1755.0,757.0,1321.0,419.0,401.0,217.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,16.0,42.0,695.0,776.0,1876.0,1852.0,1143.0,1722.0,688.0,695.0,400.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,14.0,363.0,441.0,1390.0,1608.0,1579.0,1684.0,916.0,1076.0,719.0,205.0,3.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,191.0,244.0,1040.0,1266.0,1791.0,1465.0,1270.0,1344.0,1056.0,317.0,9.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,75.0,106.0,733.0,881.0,1600.0,1161.0,1610.0,1711.0,1456.0,624.0,36.0,5.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,30.0,51.0,376.0,533.0,1299.0,849.0,1955.0,1842.0,1909.0,1027.0,104.0,19.0,5.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,9.0,18.0,173.0,247.0,974.0,556.0,1831.0,1693.0,2366.0,1780.0,246.0,88.0,16.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,45.0,66.0,355.0,188.0,951.0,910.0,1440.0,4323.0,1113.0,406.0,163.0,40.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,27.0,118.0,154.0,306.0,1247.0,4384.0,2001.0,1378.0,358.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,15.0,34.0,284.0,2403.0,3887.0,2381.0,981.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,1280.0,2625.0,3603.0,2454.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,421.0,962.0,2436.0,6102.0,43.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,15.0,61.0,7067.0,2852.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888.0,7112.0
