Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
7350.0,2648.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2619.0,7153.0,195.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,188.0,7606.0,1466.0,470.0,100.0,135.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,11.0,1678.0,5031.0,1890.0,564.0,664.0,145.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,402.0,2043.0,3612.0,1535.0,1610.0,708.0,78.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,93.0,950.0,2214.0,2577.0,2464.0,1401.0,232.0,56.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,23.0,362.0,1150.0,2725.0,2481.0,2249.0,697.0,246.0,17.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,99.0,545.0,1855.0,1853.0,2894.0,1579.0,791.0,104.0,271.0,6.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,16.0,102.0,502.0,607.0,1586.0,3500.0,2180.0,395.0,1062.0,32.0,18.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,14.0,116.0,155.0,712.0,2287.0,3413.0,945.0,2153.0,147.0,54.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,24.0,26.0,220.0,1101.0,2181.0,2435.0,3176.0,462.0,345.0,28.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,5.0,69.0,423.0,890.0,3895.0,2295.0,1298.0,945.0,174.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,82.0,187.0,1597.0,797.0,3759.0,2733.0,792.0,40.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,41.0,522.0,164.0,3024.0,3795.0,2173.0,252.0,18.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,21.0,1157.0,1863.0,5158.0,1507.0,175.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,111.0,241.0,1555.0,6107.0,1676.0,308.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,115.0,1875.0,6025.0,1977.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,215.0,2103.0,7680.0
