Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8975.0,817.0,44.0,146.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,872.0,5839.0,966.0,1941.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,131.0,2194.0,2681.0,3501.0,1492.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,863.0,3539.0,2652.0,2912.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,285.0,2682.0,1744.0,5072.0,173.0,33.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,85.0,16.0,120.0,6335.0,2768.0,343.0,156.0,136.0,16.0,6.0,7.0,10.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,0.0,3.0,2460.0,4899.0,1058.0,601.0,622.0,190.0,34.0,76.0,46.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,728.0,1428.0,2718.0,1766.0,1760.0,743.0,188.0,400.0,233.0,34.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,184.0,527.0,2061.0,2023.0,2088.0,1245.0,372.0,738.0,610.0,143.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,74.0,235.0,1478.0,1827.0,1918.0,1572.0,639.0,1031.0,922.0,281.0,23.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,21.0,75.0,1086.0,1511.0,1442.0,1787.0,909.0,1408.0,1170.0,547.0,44.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,718.0,991.0,955.0,1687.0,1418.0,1624.0,1575.0,887.0,113.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,362.0,615.0,564.0,1377.0,1871.0,1701.0,1797.0,1405.0,294.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,140.0,364.0,354.0,923.0,2108.0,1517.0,1768.0,2213.0,606.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,129.0,138.0,392.0,1848.0,1164.0,1469.0,3212.0,1563.0,54.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,67.0,598.0,323.0,390.0,1233.0,6802.0,549.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,11.0,10.0,37.0,545.0,9387.0
