Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Newcastle United,AFC Bournemouth,Fulham,Brighton & Hove Albion,Sunderland,Crystal Palace,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9761.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239.0,9473.0,248.0,25.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,276.0,6871.0,972.0,802.0,987.0,86.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,1784.0,2925.0,2316.0,2442.0,448.0,26.0,24.0,7.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,737.0,2758.0,2451.0,2774.0,929.0,109.0,118.0,17.0,32.0,60.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,269.0,2067.0,2420.0,2167.0,1765.0,371.0,436.0,71.0,145.0,240.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,72.0,904.0,1255.0,1005.0,2978.0,865.0,1195.0,327.0,467.0,711.0,144.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,16.0,249.0,446.0,386.0,1688.0,1523.0,2197.0,713.0,878.0,1367.0,377.0,157.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,72.0,183.0,138.0,915.0,1843.0,1824.0,1112.0,1204.0,1705.0,624.0,358.0,19.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,18.0,80.0,59.0,560.0,1683.0,1435.0,1467.0,1550.0,1660.0,878.0,568.0,36.0,5.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,8.0,34.0,24.0,353.0,1426.0,1092.0,1667.0,1697.0,1502.0,1207.0,891.0,84.0,14.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,5.0,6.0,176.0,1060.0,808.0,1731.0,1642.0,1219.0,1680.0,1407.0,204.0,43.0,5.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,2.0,72.0,659.0,542.0,1456.0,1342.0,882.0,2275.0,2060.0,507.0,147.0,32.0,21.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,29.0,359.0,273.0,1032.0,882.0,472.0,2064.0,2963.0,1208.0,472.0,153.0,93.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,51.0,359.0,139.0,147.0,568.0,1204.0,3949.0,2233.0,747.0,535.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,38.0,17.0,23.0,120.0,257.0,2523.0,3362.0,2171.0,1479.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,43.0,1075.0,2281.0,3591.0,2975.0,19.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,390.0,1423.0,3210.0,4796.0,148.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,89.0,87.0,7766.0,2037.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2067.0,7931.0
