Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Lecce,Cremonese,Pisa,Hellas Verona
9862.0,108.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,5732.0,2726.0,977.0,407.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2504.0,3453.0,2438.0,1380.0,209.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1122.0,2067.0,3327.0,2690.0,748.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,440.0,1286.0,2304.0,3783.0,1986.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,89.0,428.0,887.0,1549.0,5855.0,1170.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,15.0,62.0,188.0,1136.0,7840.0,491.0,227.0,33.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,35.0,634.0,4915.0,3117.0,860.0,326.0,17.0,71.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,90.0,2791.0,3712.0,1934.0,960.0,92.0,277.0,114.0,14.0,12.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,1237.0,1793.0,3372.0,1904.0,310.0,857.0,396.0,68.0,49.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,420.0,815.0,2129.0,2947.0,754.0,1752.0,827.0,192.0,144.0,18.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,236.0,950.0,1891.0,1551.0,2494.0,1637.0,581.0,487.0,59.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,72.0,450.0,1055.0,2164.0,2021.0,2054.0,1088.0,885.0,161.0,27.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,183.0,595.0,2236.0,1304.0,2052.0,1668.0,1498.0,371.0,71.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,242.0,1725.0,751.0,1610.0,2269.0,2219.0,913.0,194.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,67.0,906.0,375.0,1036.0,2628.0,2531.0,1893.0,529.0,18.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,219.0,93.0,227.0,1205.0,1672.0,4661.0,1746.0,145.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,30.0,281.0,480.0,1779.0,6349.0,944.0,107.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,138.0,1003.0,6610.0,2226.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,71.0,2279.0,7646.0
