Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Lorient,Brest,Toulouse,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
8746.0,1245.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226.0,8119.0,605.0,39.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,601.0,7541.0,1143.0,272.0,227.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,30.0,1343.0,4997.0,1272.0,1238.0,1071.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,356.0,2157.0,2711.0,2372.0,2092.0,274.0,23.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,109.0,1052.0,2554.0,2457.0,2934.0,722.0,101.0,55.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,34.0,492.0,2234.0,2353.0,2604.0,1560.0,381.0,253.0,85.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,101.0,789.0,1062.0,906.0,3606.0,1749.0,1180.0,575.0,19.0,7.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,17.0,137.0,233.0,170.0,2092.0,3034.0,2464.0,1669.0,121.0,50.0,11.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,25.0,45.0,34.0,1095.0,2642.0,2947.0,2637.0,365.0,156.0,34.0,19.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,495.0,1697.0,2263.0,3423.0,1232.0,557.0,192.0,131.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,311.0,653.0,1187.0,4162.0,1943.0,1009.0,637.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,55.0,152.0,327.0,2537.0,3271.0,2025.0,1576.0,40.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,23.0,69.0,1187.0,2486.0,2987.0,3080.0,158.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,361.0,1420.0,3318.0,4105.0,705.0,73.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,108.0,414.0,436.0,7106.0,1816.0,109.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,14.0,1872.0,6816.0,1288.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1289.0,8598.0
