Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Newcastle United,AFC Bournemouth,Fulham,Brighton & Hove Albion,Sunderland,Crystal Palace,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9747.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.0,9428.0,274.0,25.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,292.0,6821.0,1019.0,730.0,1103.0,28.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,23.0,1854.0,2972.0,2300.0,2549.0,209.0,42.0,30.0,1.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,729.0,2875.0,2517.0,2835.0,614.0,156.0,129.0,21.0,38.0,70.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,263.0,2059.0,2602.0,2121.0,1451.0,455.0,453.0,96.0,179.0,254.0,59.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,50.0,721.0,1076.0,836.0,2812.0,1085.0,1404.0,371.0,579.0,779.0,199.0,86.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,239.0,443.0,312.0,1969.0,1492.0,1994.0,744.0,938.0,1373.0,309.0,173.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,64.0,202.0,151.0,1256.0,1856.0,1685.0,1044.0,1264.0,1527.0,598.0,339.0,13.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,22.0,78.0,55.0,808.0,1609.0,1418.0,1431.0,1504.0,1575.0,894.0,557.0,43.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,31.0,18.0,443.0,1344.0,1164.0,1646.0,1595.0,1496.0,1224.0,904.0,110.0,17.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,12.0,6.0,232.0,947.0,818.0,1785.0,1579.0,1289.0,1704.0,1354.0,216.0,45.0,8.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,135.0,616.0,561.0,1479.0,1321.0,941.0,2219.0,2026.0,519.0,134.0,24.0,25.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,37.0,334.0,286.0,1010.0,805.0,513.0,2018.0,3060.0,1232.0,455.0,137.0,111.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,50.0,314.0,175.0,151.0,631.0,1215.0,3917.0,2218.0,662.0,605.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,51.0,12.0,24.0,117.0,239.0,2494.0,3361.0,2193.0,1493.0,4.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,12.0,34.0,1069.0,2340.0,3463.0,3054.0,16.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,375.0,1408.0,3421.0,4621.0,151.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,89.0,83.0,7563.0,2245.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2266.0,7732.0
