Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Mainz,FC Cologne,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9733.0,190.0,55.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,242.0,5179.0,2613.0,1462.0,503.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,2572.0,3484.0,2398.0,1526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1466.0,2554.0,3187.0,2769.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,588.0,1275.0,2866.0,5050.0,214.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,19.0,70.0,147.0,7682.0,1307.0,347.0,240.0,87.0,23.0,61.0,12.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1486.0,4763.0,1663.0,816.0,515.0,238.0,413.0,91.0,7.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,409.0,2184.0,2762.0,1559.0,1148.0,607.0,918.0,330.0,42.0,41.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,137.0,991.0,1975.0,1855.0,1677.0,1114.0,1335.0,672.0,109.0,124.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,36.0,467.0,1316.0,1785.0,1858.0,1437.0,1632.0,1007.0,207.0,232.0,23.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,185.0,918.0,1478.0,1741.0,1696.0,1661.0,1372.0,451.0,444.0,42.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,72.0,579.0,1117.0,1369.0,1688.0,1626.0,1780.0,803.0,807.0,156.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,315.0,769.0,950.0,1720.0,1219.0,1801.0,1409.0,1439.0,359.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,90.0,308.0,490.0,1001.0,695.0,1590.0,2592.0,2346.0,876.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,70.0,152.0,395.0,377.0,1082.0,2942.0,3086.0,1842.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,81.0,63.0,256.0,1425.0,1449.0,6451.0,258.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,25.0,240.0,9715.0
