Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9720.0,206.0,66.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258.0,5755.0,2705.0,1165.0,101.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2578.0,3717.0,2948.0,560.0,174.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1113.0,2407.0,3876.0,1785.0,790.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,292.0,880.0,1471.0,4507.0,2537.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,56.0,218.0,504.0,2630.0,5328.0,1251.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,29.0,413.0,1142.0,7939.0,317.0,119.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,13.0,412.0,6008.0,1939.0,809.0,809.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,49.0,2311.0,3762.0,2110.0,1652.0,13.0,54.0,41.0,3.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,965.0,2542.0,3175.0,2751.0,60.0,247.0,194.0,24.0,35.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,339.0,1413.0,2866.0,3502.0,243.0,786.0,575.0,77.0,176.0,8.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,196.0,709.0,866.0,1214.0,3164.0,2094.0,539.0,1021.0,70.0,83.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,218.0,277.0,2034.0,2359.0,2216.0,991.0,1527.0,149.0,198.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,102.0,2325.0,1579.0,1851.0,1470.0,1845.0,348.0,409.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,2121.0,1038.0,1512.0,1899.0,2015.0,629.0,741.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1421.0,520.0,1019.0,2490.0,1736.0,1388.0,1416.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,459.0,208.0,400.0,1701.0,1115.0,3179.0,2892.0,3.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,42.0,96.0,802.0,519.0,4070.0,4094.0,28.0,240.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,157.0,147.0,3428.0,6259.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6541.0,3453.0
