Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9752.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247.0,9512.0,175.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,218.0,6514.0,2416.0,467.0,346.0,15.0,15.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,22.0,2341.0,4744.0,1519.0,1108.0,103.0,96.0,19.0,36.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,693.0,1864.0,2950.0,2848.0,617.0,584.0,102.0,257.0,43.0,23.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,208.0,681.0,2427.0,2649.0,1433.0,1173.0,317.0,712.0,177.0,139.0,65.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,54.0,175.0,1332.0,1454.0,2137.0,1787.0,777.0,1255.0,375.0,381.0,226.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.0,42.0,664.0,755.0,1918.0,1883.0,1219.0,1679.0,604.0,715.0,413.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,10.0,351.0,451.0,1477.0,1623.0,1566.0,1690.0,905.0,1027.0,698.0,197.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,176.0,237.0,1041.0,1211.0,1768.0,1553.0,1292.0,1333.0,1055.0,320.0,9.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,79.0,102.0,641.0,813.0,1633.0,1165.0,1670.0,1764.0,1502.0,580.0,40.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,29.0,35.0,397.0,508.0,1322.0,895.0,1867.0,1813.0,1943.0,1078.0,83.0,29.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,14.0,183.0,242.0,925.0,531.0,1930.0,1672.0,2306.0,1808.0,275.0,90.0,17.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,38.0,61.0,320.0,192.0,974.0,943.0,1427.0,4288.0,1135.0,426.0,148.0,46.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,26.0,134.0,168.0,306.0,1244.0,4301.0,2108.0,1363.0,319.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,17.0,21.0,45.0,275.0,2487.0,3858.0,2373.0,918.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,1225.0,2611.0,3651.0,2470.0,1.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,443.0,862.0,2433.0,6174.0,49.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,70.0,7031.0,2883.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2919.0,7081.0
