Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9396.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,9289.0,88.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,101.0,6631.0,835.0,1402.0,856.0,156.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1899.0,2525.0,2940.0,1979.0,526.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,829.0,2777.0,2536.0,2230.0,1189.0,431.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,376.0,2140.0,1889.0,2515.0,2035.0,1012.0,7.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,153.0,1309.0,942.0,1614.0,3510.0,2206.0,61.0,169.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,24.0,369.0,263.0,750.0,2334.0,4361.0,585.0,996.0,311.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,36.0,15.0,49.0,202.0,1203.0,2965.0,3908.0,1435.0,69.0,114.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,1.0,5.0,44.0,466.0,3159.0,2919.0,2730.0,252.0,398.0,20.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,155.0,2515.0,1555.0,3813.0,775.0,1029.0,115.0,37.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,580.0,348.0,1244.0,2916.0,3848.0,689.0,323.0,33.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,114.0,70.0,383.0,3804.0,2959.0,1547.0,967.0,153.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,40.0,1666.0,1269.0,3559.0,2761.0,685.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,475.0,352.0,3055.0,4096.0,1993.0,19.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,27.0,996.0,1791.0,6480.0,614.0,53.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,641.0,7343.0,1978.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2023.0,7964.0
