Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8476.0,1524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1523.0,8452.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,6251.0,3724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3727.0,6258.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,14.0,6893.0,1572.0,942.0,208.0,63.0,231.0,44.0,23.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1874.0,3753.0,1964.0,818.0,402.0,772.0,187.0,129.0,48.0,48.0,1.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,765.0,2271.0,2476.0,1362.0,673.0,1374.0,451.0,282.0,133.0,175.0,7.0,22.0,7.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,305.0,1239.0,1746.0,1756.0,1118.0,1826.0,768.0,477.0,305.0,365.0,19.0,50.0,17.0,7.0,2.0,0.0
0.0,0.0,0.0,0.0,107.0,609.0,1140.0,1723.0,1420.0,1696.0,1207.0,746.0,482.0,653.0,26.0,99.0,62.0,29.0,1.0,0.0
0.0,0.0,0.0,0.0,30.0,311.0,707.0,1511.0,1545.0,1336.0,1444.0,989.0,720.0,909.0,78.0,238.0,111.0,70.0,1.0,0.0
0.0,0.0,0.0,0.0,9.0,132.0,426.0,1053.0,1446.0,1046.0,1515.0,1243.0,1025.0,1182.0,166.0,399.0,225.0,118.0,15.0,0.0
0.0,0.0,0.0,0.0,2.0,70.0,286.0,696.0,1249.0,736.0,1456.0,1438.0,1264.0,1371.0,282.0,608.0,339.0,182.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,26.0,166.0,427.0,947.0,461.0,1150.0,1423.0,1414.0,1372.0,548.0,1050.0,612.0,344.0,60.0,0.0
0.0,0.0,0.0,0.0,0.0,14.0,85.0,249.0,579.0,309.0,836.0,1315.0,1453.0,1267.0,854.0,1414.0,932.0,571.0,121.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,39.0,134.0,358.0,131.0,523.0,927.0,1300.0,1075.0,1239.0,1720.0,1360.0,935.0,256.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,137.0,60.0,270.0,544.0,947.0,774.0,1863.0,1688.0,1658.0,1406.0,578.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,49.0,14.0,118.0,317.0,562.0,486.0,2041.0,1333.0,1893.0,2066.0,1064.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,14.0,8.0,29.0,122.0,284.0,261.0,1883.0,1012.0,1774.0,2490.0,2001.0,116.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,60.0,55.0,955.0,348.0,921.0,1633.0,5373.0,628.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,15.0,89.0,147.0,507.0,9203.0
